category,city,about,reference,country,company,zipcode,website,sector,address,employees,turnover,selection,dep_str,cgpa_criteria,criteria,profile,cgpa_cutoff,day,package,contract
"
Private
",Bangalore,"Associate Business Analyst - Business Development
 
We invite you to be a part of an organization that has a high focus on Impact and ownership, an organization which allows for freedom to each to experiment and innovate.

It's a moment of great pride when you see the impact of what you have created, when your ideas come to life and significantly contribute to an increase in business and revenue

It's even more gratifying to know that the impact is visible to your wide network of family and friends across the country. 

There are multiple roles on offer for ABAs  within the  - Business Development Team
including:

Customer Understanding
 Be the voice of the customer internally
 Understand needs - even those that the customers themselves may not realize
 Stay on top of changing trends and strategic priorities through in-depth data analysis to predict customer behavior

Pricing
 Develop the right pricing policy - identify opportunities for giving customers value through intelligent and
limited discounting.
 Use discounting to drive portfolio mix and achieve strategic goals

Merchandising
 Develop and execute plans to showcase the right products
 Identify cross-selling and upselling opportunities
 Own the customer experience in the category - make navigation, discovery easier. Save the customer time
 Identify the parameters customers use to make decisions and ensure catalog richness

Marketing
 Work with marketing to identify the best RoI initiatives to build awareness and encourage trial across
channels  SEM, SEO, TV Commercials, etc.
 Understand SEM, SEO and E-mail marketing  identify the right keywords, reduce SEM costs while
increasing conversions of website visits to orders

Promotions
 Create promotions to drive revenue, margins, etc.
 Own both creation and execution of promotions calendar including special occasions (Diwali, Valentines day, etc.)

Catalogue
 Own catalogue content creation  lead catalogue photoshoot & content creation, drive this via internal catalogue & marketing teams
 Drive better conversions through catalogue improvement & enhancement basis customer insights

Operations
 Work with internal sourcing, quality & design team to track key project milestones, ensure processes are
followed for review & reporting of the same
 Work with buying and sourcing teams to plan inventory & inwarding as per requirement, ensure inventory
sufficiency & reduce non-selling inventory


Your Array:

Exceptional problem solving and analytical skills.
Strong mathematical, quantitative and statistical orientation.
Strong understanding of classical as well as contemporary statistical modelling and machine learning techniques
Exceptional Business acumen
Good written and verbal communication skills.
Ability to multitask and work on a diverse range of requirements.
Technical capabilities:  SQL, Hive, Excel, R, Python, Spark, etc. (Good To have - Not Mandatory)","
Contacted by CDC
",India,Flipkart,560037,www.flipkart.com,"
IT/Software,Ecommerce
",Flipkart Tower 5A - Embassy Tech Village,>5000,>5000,"Resume,GD",AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,"Benefits Include - Flight Ticket to Bangalore + 15 Days Hotel Accommodation, 12,000 Mobile Reimbursement & 12,000 Broadband Reimbursement + Upto 40,000 INR Relocation Reimbursement for Goods",Associate Business Analyst (Business Development),0.0,,"900000 INR  [CTC: 13,40,000 = 9,00,000 Base + 90,000 Variable + 2,00,000 Joining Bonus + 1,50,000 Benefits]",NO
"
StartUp
",Bangalore,"Job Description :

We are looking for a passionate hands-on engineer to join the Bangalore Swiggy Engineering team. In this role, you will be responsible to drive innovation in full-stack product development, while relentlessly improving performance, scalability, and maintainability.
 
Required Skill Set:
 
Good problem-solving skills
Sound knowledge and application of algorithms and data structures with space and time complexities
Strong design skills involving data modeling and low-level class design
Good knowledge of object-oriented programming and design patterns
Proficiency in at least one programming language
Follow industry coding standards and responsible for writing maintainable/scalable/efficient code to solve business problems
Hands-on experience of working with Databases and Linux/Unix platform
Follow SDLC in an agile environment and collaborate with multiple cross-functional teams to drive on-time deliveries
Strong technical aptitude and good knowledge of CS fundamentals
B Tech/M Tech from IIT KGP","
Self
",India,Swiggy,560029,https://www.swiggy.com/,"
Ecommerce
","4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bangalore, Karnataka 560029",>5000,,"Resume,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_IP_ID_RT_WM_RE,,,Software Development Engineer-1,0.0,,"2920000 INR  [Fixed: 1800000, 100000 Joining bonus
100000 Retention bonus
ESOPs worth 9,20,000/- as per prevailing FMV at the time of your joining.]",NO
"
StartUp
",Bangalore,"What you need to have
Bachelor's degree in Business Administration, Engineering, Economics, Finance, Mathematics, Statistics, or a related quantitative field
1-3 years of experience in analytics/data science or related field
Hands-on experience on data manipulation tools like SQL, R, SAS, Python, Excel etc.
Exposure to BI Platforms like Power BI, Tableau etc.
Knowledge of basic statistical measurement frameworks (measures of central tendency, dispersion, distribution, significance testing etc.)
Basic knowledge of machine learning techniques for Regression, Classification etc.

What we expect from you 
Creative thinking to solve real-world problems
Fail fast, learn faster approach
Comfortable in a high-energy, fast-paced environment
Proficient verbal and written communication skills
Detail-oriented with the ability to self-direct work in an unstructured environment
Excellent partnership and collaboration skills with the ability to work cross-functionally
Good organizational skills including prioritizing, scheduling, time management, and meeting deadlines.

What will you work on
Work with large, complex data sets to solve business problems, applying advanced analytical methods as needed
Monitor and forecast key business metrics on a regular basis
Conduct regular planning and reviews key performance metrics and aid in benefitting from change
Identify the right metrics to track progress against a given business goal
Design, run and measure experiments to test business hypotheses Expedite root cause analyses/insight generation against a given recurring use case through automation/self-serve platforms
Develop compelling stories with business insights, focusing on strategic goals of the organisation
Work with Business, Product and Data engineering teams for continuous improvement of data accuracy through feedback and scoping on instrumentation quality and completeness","
Self
",India,Swiggy,560029,https://www.swiggy.com/,"
Ecommerce
","4/1 Bannerghatta Main Road 9th Floor Tower D IBC Towers, Bhavani Nagar, S.G. Palya, Bangalore, Karnataka 560029",>5000,,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_IP_ID_RT_WM_RE,,,Business Analayst,0.0,3,1100000 INR  [11 LPA (1000000 fixed + 1 LPA Joining Bonus)],NO
"
Private
",Hyderabad,"Coordinate between Data Scientists and Business Analysts
Automate infrastructure used by the Data Science team
Convert machine learning models into APIs so that other applications can access them
Test and deploy models
Develop minimum viable products based on machine learning
Automate processes by utilizing machine learning
Use AI to empower the company with novel capabilities","
Contacted by CDC
",India,Uniworks Designs Pvt. Ltd,500081,www.uniworksdesigns.com,"
Professional Services
","Uniworks Designs 1st floor Lamba Trendz Unity, Madhapur",Between 50 to 100,Below 50,Resume,AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_EP_IP_ID_RT_RE,,,software development and machine learning,0.0,8,700000 INR  [700000],NO
"
Private
",Hyderabad,"We at Uniworks Designs are looking to hire a senior architect/interior for our Hyderabad & Delhi office with an experienced who can handle our residential and commercial portfolio with a keen eye for detailing.

Key skills required

Excellent at conceptual design and detailing along with team management
Should have architectural and interiors exposure.
Able to handle clients and project team without any hassles
Minimum experience : 2years  6years
Good knowledge of softwares like autocad, google sketchup, Revit and MS office","
Contacted by CDC
",India,Uniworks Designs Pvt. Ltd,500081,www.uniworksdesigns.com,"
Professional Services
","Uniworks Designs 1st floor Lamba Trendz Unity, Madhapur",Between 50 to 100,Below 50,Resume,AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_EP_IP_ID_RT_WM_RE,,,Architect,0.0,,700000 INR  [700000],No
"
Private
",Hyderabad,"We at Uniworks Designs are looking to hire a Project Manager for our Hyderabad & Delhi office with an experienced who can handle our residential and commercial portfolio with a keen eye for detailing.

Project Manager top skills & proficiencies:

Developing and Tracking Budgets
Coaching
Supervision
Staffing
Project Management
Management
Process Improvement
Planning
Performance Management
Inventory Control
Verbal Communication
Requirements:

Excellent client-facing and internal communication skills
Excellent written and verbal communication skills
Solid organizational skills including attention to detail and multitasking skills","
Contacted by CDC
",India,Uniworks Designs Pvt. Ltd,500081,www.uniworksdesigns.com,"
Professional Services
","Uniworks Designs 1st floor Lamba Trendz Unity, Madhapur",Between 50 to 100,Below 50,Resume,AT_AE_AG_AR_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_EP_IP_ID_RT_WM_RE,,,Project Analyst,0.0,,700000 INR  [700000],No
"
Private
",Tokyo,"Our infrastructure is growing by 30% annually due to service growth and diversification. A wide variety of applications are being deployed on the infrastructure every day and there are more than 2,100 developers in over 10 locations worldwide.
With this scale of infrastructure and developers, learning and operating cost is too high for developers to deploy their applications with awareness of the infrastructure and its configuration.We, infrastructure software engineers, are responsible for building and operating the platform which enables it to connect applications and infrastructure seamlessly using software techniques and methods. In this position, You'll be responsible for OpenStack and its middleware of our private cloud platform ""Verda"".","
Contacted by CDC
",Japan,LINE Corp,160-0022,https://linecorp.com/en/,"
IT/Software
",JR Shinjuku Miraina Tower 23rd F+. 4-1-6 Shinjuku,>5000,Between 50 to 100,Online/Offline test (Max 30 mins),AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,"Experience operating or integrating OpenStack or Kubernetes  
/ Ability to troubleshoot OSS with code-level  / Experience customizing OSS for company business requirements/ Experience of contributing OSS  / Experience operating or developing a distributed system  / Experience making presentations in tech conferences",Infrastructure Software Engineer,0.0,2,"6500000 JPY  [- Flight Ticket allowance (JPY200,000~400,000)
- Relocation allowance (JPY200,000~400,000)
- Fully furnished appartment (Up to 2months)
- Private Assistant who supports your registration process at city hall]",NO
"
Private
",Hyderabad,We are interested in students who want to pursue a career in software development. This will require them to have top-notch analytical and a passion for coding,"
Self
",India,ZeMoSO Technologies Pvt Ltd,500008,https://www.zemosolabs.com/,"
IT/Software
","8th Floor, MJR Magnifique, Near Raidurg Police station, Gachibowli road, Hyderabad500008",Between 100 to 500,,"Resume,Online/Offline test (Max 30 mins)",AE_AG_AR_BS_BT_ET_CH_CY_CE_CS_EE_EC_EV_GG_HS_IM_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_MM,,,Software Engineer,0.0,10,900000 INR  [(736000+ 164000],No
"
MNC
",Hyderabad,"OnePlus creates some of the worlds most cutting-edge software products, and we want you to be a part of our team.

Roles & responsibilities:
- Develop and implement new software programs in the Domains like: Android platform, Kernel, Network and Applications
- Maintain and improve the performance of existing software modules
- Clearly and regularly communicate with management and technical support colleagues
- Test and maintain software products to ensure strong functionality and optimization
- Recommend improvements to existing software programs as necessary

This is a fantastic opportunity to engage in a positive and creative work environment that offers excellent benefits and flexible schedules.

Please refer to the attached document for the job profiles.","
Self
",India,OnePlus,500032,https://www.oneplus.in/,"
Core Engineering,IT/Software,Telecommunication,Automobile
","Redbrick Primea, 10 & 11, Phoenix Primea, Road No - 2, Financial District, Nanakram Guda, Hyderabad - 500032",Between 1000 to 5000,,Online/Offline test (Max 30 mins),AT_AE_AG_BS_BT_CL_CH_CE_CS_EE_EC_ES_GG_TE_HS_IM_MS_MA_ME_MT_MI_NA_PH_EP_IP_ID_RT_MM_WM_RE,,,Software Engineer I,0.0,2,2500000 INR  [2500000 - fixed],NO
"
Private
",Hyderabad,"TEACHING SYLLABUS PRESCRIBED BY THE BOARDS AND COACHING STUDENTS FOR THE NATIONAL LEVEL COMPETITIVE / ENTRANCE EXAMINATIONS LIKE JEE MAIN/JEE ADVANCED  MATHS , PHYSICS AND CHEMISTRY SUBJECTS.","
Self
",India,SRI CHAITANYA EDUCATIONAL INSTITUTIONS,500081,WWW.SRICHAITANYA.NET,"
Others
","304, KASETTY HEIGHTS, AYYAPPA SOCIETY MAIN ROAD , MADHAPUR",>5000,Between 1000 to 5000,"Resume,GD,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,NIL,SENIOR/ASSOCIATED LECTURER IN MATHS/PHYSICS/CHEMISTRY,0.0,8,540000 INR  [420000 TAKE HOME+120000 IN THE FORM OF BACHELOR ACCOMMIDATION WITH FOOD],it's just a mutual understanding
"
StartUp
",Bangalore,"Conduct research to identify market gaps and customer needs
Research and analyse competition
Come up with product enhancements to improve customer experience
Help define and monitor the quality control criteria for products
Work with engineering teams to ensure timely and flawless product releases
Define success criteria for products
Monitor and analyse product success metrics using online tools","
Self
",India,Embibe.com (Indiavidual Learning),560095,embibe.com,"
Teaching / education
","Sony World Signal, SJR Koramangala, Plot 36, 1st floor, 100 Feet Rd, Venkappa Garden, Koramangala, Bangalore, Karnataka 560095",,,"Resume,GD,Online/Offline test (Max 30 mins)",AT_AE_AG_AR_BS_BT_ET_CL_CH_CY_CE_CS_EE_EC_ES_EV_GG_TE_HS_IM_MS_MA_ME_MT_MI_NS_NA_PH_EP_IP_ID_RT_MM_WM_RE,,"Relocation allowance post applicable taxes, will be remitted along with 1st month salary payout. If employee quits the organization within a year , complete remitted amount will be recovered.",Associate Product Manager,0.0,3,1350000 INR  [1770000 (Fixed- 1350000 + Variable- 270000 + Relocation Allowance (one time) 150000)],NO
"
StartUp
",Bangalore,"Embibe is Indias leading edtech platform powered by AI. We deliver personalised learning and predictable learning outcomes for each aspiring individual. We have built world class products that enable, better education delivery and personalised guidance, across each stakeholder - the student, the educator/educational institutions and the parent. 

 We've assembled an amazing team thats passionate about creating more opportunities for people by changing the way students learn. We are ambitious, data-driven givers, and we love impacting learning outcomes positively. If you're interested in scaling Embibe by helping students, education organisations to drive holistic development of a students learning process and outcomes.

We are on a journey to enable a quarter of Indias population to excel in education: 300 million learners across 1.5 M institutions, including vernacular users. In our quest of discovering what matters in education, we have touched the lives of over 18 million students across different strata of society.

WHAT YOULL LOVE TO DO:
 Derive product and business insights from data analysis
 Leverage your analytics and data based decision process to help and influence our product roadmap and strategy
 Transform business needs into data collection and data analytics processes
 Work with the engineering team to validate, implement and monitor our logging and metrics
 Design, drive and evaluate A/B experiments to test new product ideas
 Own the ideation, development, and maintenance of ongoing reports, dashboards, etc.
 Empower and guide others to work effectively and efficiently to create a data-informed culture

WHAT YOUVE ALREADY DONE:
 Excited to work as part of the team which builds value for users of the platform in the B2C and B2B space, access to create impact on business, product metrics and user experience.
 Proficiency in SQL is essential but not mandatory; Working knowledge of Tableau, Python and R is a plus. 
 Understanding of applied mathematics, statistical analysis, experiment design, and common pitfalls of data analysis
 You are a team player: Assertive working with multiple teams across different locations
 You take initiative: Ability to prioritise, handle multiple projects at the same time
 You are a strong communicator: Excellent written and oral communication skills
 You are a critical thinker: Structured, analytical and detail oriented with an affinity for numbers 

PERKS & BENEFITS.
As if working alongside the smartest brains wasnt enough!
We have a full package of competitive benefits and perks available for you and your dependents:
 Insurance to all Employees (term life, personal accident, medical, gratuity) along with insurance to their dependents(medical). 
 Our pantry is stocked with healthy snacks, fruits, Coffee and free catered dinner if you are working late
  The satisfaction of seeing your users learn, leap and succeed","
Self
",India,Embibe.com (Indiavidual Learning),560095,embibe.com,"
Teaching / education
","Sony World Signal, SJR Koramangala, Plot 36, 1st floor, 100 Feet Rd, Venkappa Garden, Koramangala, Bangalore, Karnataka 560095",,,Resume,AG_BT_HS_IM_EP_IP_WM,,,PRODUCT ANALYST,0.0,,1000000 INR  [10 LPA FIXED + 2 LACS.],no
